# MediaDive authoritative collection table
# source: https://mediadive.dsmz.de/rest/media (fetched 2026-09-06, HTTP 200, 3339 rows)
# MediaDive aggregates recipes published by several culture collections. `collection`
# is MediaDive's own `source` field - NOT derived from the link host (mediadive C110
# links to atcc.org but MediaDive classifies it CCAP, and 73 on-disk records have a
# synthesised fallback URL whose host says nothing).
mediadive_id	collection	upstream_link	upstream_name
1060	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1060.pdf	LYSOBACTER DESERTI MEDIUM
1061	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1061.pdf	MODIFIED TH AGAR
1062	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1062.pdf	DESULFITOBACTERIUM (PCE II) MEDIUM
1063	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1063.pdf	MICROCELLA ALKALIPHILA MEDIUM
1064	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1064.pdf	BREVIBACILLUS LEVICKII MEDIUM
1065	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1065.pdf	M1-NOCARDIOPSIS ARABIA MEDIUM
1066	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1066.pdf	MARINOBACTER LUTAOENSIS MEDIUM
1068	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1068.pdf	DESULFOPILA MSL86 MEDIUM
1069	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1069.pdf	MODIFIED BIEBL AND PFENNIG'S MEDIUM
1070	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1070.pdf	YM MEDIUM
1071	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1071.pdf	PY-BROTH
1072	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1072.pdf	PSEUDOALTEROMONAS SPIRALIS MEDIUM
1073	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1073.pdf	AML60 MEDIUM
1074	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1074.pdf	DESULFOGLAEBA MEDIUM
1075	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1075.pdf	PPES-II AGAR MEDIUM
1076	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1076.pdf	SP4 MEDIUM
1076a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1076a.pdf	SP4 MEDIUM WITH GLUCOSE
1076b	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1076b.pdf	SP4-Z MEDIUM
1077	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1077.pdf	PH MEDIUM
1078	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1078.pdf	FRIIS MEDIUM
1079	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1079.pdf	MYCOPLASMA/ACHOLEPLASMA MEDIUM (CIP MEDIUM 88)
108	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium108.pdf	ACIDIPHILIUM ACIDOPHILUM MEDIUM
1080	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1080.pdf	MYCOPLASMA MEDIUM (CIP MEDIUM 89)
